Bills,depth,download_timeout,download_slot,download_latency,Doc_Url
SCR 23,1,180,gov.oregonlive.com,0.293299913,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/SCR23
HB 3402,1,180,gov.oregonlive.com,0.28575325,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/HB3402
HB 3403,1,180,gov.oregonlive.com,0.278188705,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/HB3403
HB 3400,1,180,gov.oregonlive.com,1.117270231,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/HB3400
SB 868,1,180,gov.oregonlive.com,1.124673128,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/SB868
HCR 31,1,180,gov.oregonlive.com,1.130710602,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/HCR31
SR 2,1,180,gov.oregonlive.com,1.128669739,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/SR2
SB 869,1,180,gov.oregonlive.com,0.281499147,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/SB869
HB 3399,1,180,gov.oregonlive.com,1.14467144,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/HB3399
SB 867,1,180,gov.oregonlive.com,1.140677929,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/SB867
HB 3401,1,180,gov.oregonlive.com,1.145877361,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/HB3401
HB 3405,1,180,gov.oregonlive.com,0.2778337,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/HB3405
SJM 6,1,180,gov.oregonlive.com,0.280276537,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/SJM6
SB 871,1,180,gov.oregonlive.com,0.283132076,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/SB871
SB 870,1,180,gov.oregonlive.com,0.284154654,https://olis.leg.state.or.us/liz/2021R1/Downloads/MeasureDocument/SB870
