bill_no.,Doc URL,Status
HB 3416,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3416,No Activity yet
HCR 34,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HCR34,"HOUSE Jun 25, 2021: Recommendation: Be adopted."
HB 3415,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3415,"HOUSE Jun 26, 2021: In committee upon adjournment."
HR 6,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HR6,"HOUSE Jun 30, 2021: Filed with Secretary of State."
SCR 25,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SCR25,"SENATE Jul 1, 2021: Filed With Secretary of State."
HB 3411,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3411,"HOUSE Jun 26, 2021: In committee upon adjournment."
HR 5,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HR5,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3412,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3412,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3413,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3413,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3414,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3414,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3410,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3410,"HOUSE Jun 26, 2021: In committee upon adjournment."
SB 874,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB874,"SENATE Jun 26, 2021: In committee upon adjournment."
SCR 24,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SCR24,"SENATE Jul 1, 2021: Filed With Secretary of State."
SB 873,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB873,"SENATE Jun 26, 2021: In committee upon adjournment."
HB 3408,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3408,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3409,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3409,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3407,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3407,"HOUSE Jun 26, 2021: In committee upon adjournment."
HR 4,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HR4,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3406,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3406,"HOUSE Jun 26, 2021: In committee upon adjournment."
HR 3,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HR3,"HOUSE Jun 14, 2021: Filed with Secretary of State."
HCR 33,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HCR33,"HOUSE Jun 26, 2021: In committee upon adjournment."
SB 872,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB872,"SENATE Jun 26, 2021: In committee upon adjournment."
HB 3404,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3404,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3405,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3405,"HOUSE Jun 26, 2021: In committee upon adjournment."
HCR 32,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HCR32,"HOUSE Jul 6, 2021: Filed with Secretary of State."
SB 870,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB870,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 871,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB871,"SENATE Jun 26, 2021: In committee upon adjournment."
SJM 6,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SJM6,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 869,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB869,"SENATE Jun 26, 2021: In committee upon adjournment."
HB 3403,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3403,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3402,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3402,"HOUSE Jun 26, 2021: In committee upon adjournment."
SB 868,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB868,"SENATE Jun 26, 2021: In committee upon adjournment."
SR 2,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SR2,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 867,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB867,"SENATE Jun 26, 2021: In committee upon adjournment."
HB 3401,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3401,"HOUSE Jun 26, 2021: In committee upon adjournment."
HCR 31,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HCR31,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3399,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3399,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3400,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3400,"HOUSE Jun 26, 2021: In committee upon adjournment."
SCR 23,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SCR23,"HOUSE Jun 26, 2021: In committee upon adjournment."
SB 866,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB866,"HOUSE Jun 26, 2021: Speaker signed."
SCR 22,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SCR22,"SENATE Jun 23, 2021: Filed With Secretary of State."
SB 865,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB865,"SENATE Jun 26, 2021: In committee upon adjournment."
HB 3398,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3398,"SENATE Jun 26, 2021: President signed."
SJR 30,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SJR30,"SENATE Jun 26, 2021: In committee upon adjournment."
HJM 8,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HJM8,"HOUSE Jun 26, 2021: In committee upon adjournment."
SB 864,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB864,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3397,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3397,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3395,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3395,"HOUSE Jun 26, 2021: In committee upon adjournment."
