bill_no.,Doc URL,Status
HB 3227,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3227,"HOUSE Jun 10, 2021: Chapter 165, (2021 Laws): Effective date January 1, 2022."
HB 3228,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3228,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3229,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3229,"HOUSE Jun 30, 2021: Chapter 303, (2021 Laws): Effective date September 25, 2021."
HB 3230,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3230,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3231,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3231,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3232,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3232,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3233,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3233,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3234,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3234,"HOUSE Jul 7, 2021: Chapter 373, (2021 Laws): Effective date January 1, 2022."
HB 3235,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3235,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3236,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3236,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3237,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3237,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3238,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3238,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3239,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3239,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3240,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3240,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3241,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3241,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3242,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3242,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3243,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3243,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3244,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3244,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3245,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3245,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3246,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3246,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3247,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3247,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3248,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3248,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3249,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3249,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3250,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3250,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3251,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3251,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3252,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3252,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3253,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3253,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3254,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3254,"HOUSE Jun 30, 2021: Chapter 304, (2021 Laws): Effective date July 1, 2021."
HB 3255,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3255,"HOUSE Jun 30, 2021: Chapter 261, (2021 Laws): Effective date September 25, 2021."
HB 3256,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3256,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3257,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3257,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3258,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3258,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3259,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3259,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3260,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3260,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3261,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3261,"HOUSE May 25, 2021: Chapter 16, (2021 Laws): Effective date May 6, 2021."
HB 3262,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3262,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3263,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3263,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3264,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3264,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3265,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3265,"SENATE Jun 26, 2021: President signed."
HB 3266,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3266,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3267,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3267,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3268,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3268,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3269,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3269,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3270,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3270,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3271,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3271,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3272,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3272,"HOUSE Jun 30, 2021: Chapter 262, (2021 Laws): Effective date June 11, 2021."
HB 3273,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3273,"HOUSE Jul 7, 2021: Chapter 374, (2021 Laws): Effective date January 1, 2022."
HB 3274,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3274,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3275,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3275,"HOUSE Jul 14, 2021: Governor signed."
HB 3276,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3276,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3277,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3277,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3278,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3278,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3279,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3279,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3280,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3280,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3281,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3281,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3282,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3282,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3283,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3283,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3284,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3284,"HOUSE Jun 30, 2021: Chapter 305, (2021 Laws): Effective date June 15, 2021."
HB 3285,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3285,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3286,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3286,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3287,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3287,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3288,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3288,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3289,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3289,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3290,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3290,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3291,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3291,"SENATE Jun 26, 2021: President signed."
HB 3292,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3292,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3293,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3293,"HOUSE Jun 10, 2021: Chapter 129, (2021 Laws): Effective date January 1, 2022."
HB 3294,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3294,"SENATE Jun 30, 2021: President signed."
HB 3295,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3295,"SENATE Jun 26, 2021: President signed."
HB 3296,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3296,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3297,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3297,"HOUSE Jun 26, 2021: In committee upon adjournment."
SCR 15,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SCR15,"SENATE May 27, 2021: Filed With Secretary of State."
SCR 16,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SCR16,"SENATE Jun 15, 2021: Filed With Secretary of State."
SCR 17,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SCR17,"SENATE Jun 15, 2021: Filed With Secretary of State."
SJR 26,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SJR26,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 751,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB751,"SENATE Jul 7, 2021: Effective date, January 1, 2022."
SB 752,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB752,"SENATE Jul 7, 2021: Effective date, January 1, 2022."
SB 753,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB753,"HOUSE Jun 26, 2021: In committee upon adjournment."
SB 754,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB754,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 755,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB755,"HOUSE Jul 1, 2021: Speaker signed."
SB 756,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB756,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 757,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB757,"SENATE Jun 30, 2021: Effective date, June 15, 2021."
SB 758,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB758,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 759,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB759,"HOUSE Jun 26, 2021: Speaker signed."
SB 760,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB760,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 761,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB761,"SENATE Jun 10, 2021: Effective date, January 1, 2022."
SB 762,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB762,"HOUSE Jul 1, 2021: Speaker signed."
SB 763,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB763,"HOUSE Jun 26, 2021: Speaker signed."
SB 764,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB764,"HOUSE Jun 26, 2021: In committee upon adjournment."
SB 765,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB765,"SENATE Jun 30, 2021: Effective date, June 15, 2021."
SB 766,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB766,"HOUSE Jun 21, 2021: Speaker signed."
SB 767,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB767,"SENATE Jul 7, 2021: Effective date, January 1, 2022."
SB 768,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB768,"HOUSE Jun 21, 2021: Speaker signed."
SB 769,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB769,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 770,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB770,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 771,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB771,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 772,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB772,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 773,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB773,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 774,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB774,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 775,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB775,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 776,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB776,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 777,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB777,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 778,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB778,"HOUSE Jun 26, 2021: Speaker signed."
SB 779,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB779,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 780,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB780,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 2008,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB2008,"HOUSE Jul 14, 2021: Governor signed."
HB 2009,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB2009,"HOUSE Jun 10, 2021: Chapter 106, (2021 Laws): Effective date June 1, 2021."
HB 3085,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3085,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3116,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3116,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3117,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3117,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3118,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3118,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3119,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3119,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3120,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3120,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3121,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3121,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3122,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3122,"HOUSE Jun 26, 2021: In committee upon adjournment."
