bill_no.,Doc URL,Status
SB 743,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB743,"HOUSE Jun 22, 2021: Speaker signed."
SB 744,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB744,"HOUSE Jun 22, 2021: Speaker signed."
SB 745,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB745,"SENATE Jun 30, 2021: Effective date, June 11, 2021."
SB 746,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB746,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 747,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB747,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 748,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB748,"SENATE Jun 30, 2021: Effective date, January 1, 2022."
SB 749,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB749,"HOUSE Jul 1, 2021: Speaker signed."
SB 750,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB750,"SENATE Jun 10, 2021: Effective date, January 1, 2022."
HR 1,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HR1,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 2006,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB2006,"HOUSE May 25, 2021: Chapter 18, (2021 Laws): Effective date May 12, 2021."
HB 3074,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3074,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3075,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3075,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3076,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3076,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3077,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3077,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3078,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3078,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3079,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3079,"HOUSE Jun 10, 2021: Chapter 125, (2021 Laws): Effective date January 1, 2022."
HB 3080,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3080,"HOUSE Jun 10, 2021: Chapter 126, (2021 Laws): Effective date January 1, 2022."
HB 3081,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3081,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3082,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3082,"HOUSE Jun 10, 2021: Chapter 127, (2021 Laws): effective on the 91st day following adjournment sine die."
HB 3083,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3083,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3084,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3084,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3086,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3086,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3087,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3087,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3088,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3088,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3089,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3089,"HOUSE Jun 26, 2021: In committee upon adjournment."
